,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
519,sol-iletsk,100,RU,1579657797,95,51.16,54.99,26.37,22.44
520,sri aman,40,MA,1579657797,93,30.04,-8.8,48.2,4.7
521,yangjiang,71,CN,1579657798,62,21.85,111.97,69.01,6.11
522,lata,84,PT,1579657798,70,40.16,-8.33,53.01,5.82
523,brufut,100,GM,1579657798,73,13.38,-16.75,71.6,8.9
524,tecoanapa,0,MX,1579657798,89,16.52,-98.75,74.55,1.19
525,doka,0,SD,1579657798,61,13.52,35.77,56.14,8.05
526,rudnogorsk,100,RU,1579657798,92,57.26,103.75,-13.29,9.24
527,maniitsoq,100,GL,1579657798,87,65.42,-52.9,22.48,15.08
528,tukrah,0,LY,1579657798,78,32.53,20.58,51.66,16.2
530,shache,2,CN,1579657798,59,38.42,77.24,20.64,2.24
531,dicabisagan,0,PH,1579657798,62,17.08,122.42,77.79,9.86
532,kushima,75,JP,1579657799,66,31.46,131.23,51.8,6.93
534,bathsheba,40,BB,1579657799,74,13.22,-59.52,78.8,11.41
535,dawson,1,US,1579657799,59,31.77,-84.45,35.6,3.36
537,oskarshamn,100,SE,1579657799,75,57.26,16.45,42.8,12.75
539,osakarovka,100,KZ,1579657799,93,50.56,72.57,11.46,18.19
541,tupik,2,RU,1579657799,91,54.43,119.93,-15.29,1.83
542,gloversville,90,US,1579657799,66,43.05,-74.34,21.0,3.36
543,qaqortoq,100,GL,1579657800,85,60.72,-46.03,24.8,4.7
544,upata,100,VE,1579657800,80,8.01,-62.4,70.32,5.08
545,bonavista,0,CA,1579657800,69,48.65,-53.11,14.0,10.0
547,pavino,98,RU,1579657800,92,59.11,46.14,27.68,14.65
549,meadville,40,US,1579657800,62,41.64,-80.15,23.0,10.29
550,kraskino,100,RU,1579657800,62,42.71,130.78,29.97,13.56
551,kapuskasing,90,CA,1579657800,79,49.42,-82.43,26.6,19.46
552,letterkenny,100,IE,1579657800,96,54.95,-7.73,46.74,3.76
553,alekseyevskaya,100,RU,1579657801,87,50.29,42.18,34.0,8.99
